CarParkID,CarParkName_Zh_tw,TotalSpaces,Spaces_SpaceType,Spaces_IsMechanical,Spaces_HasChargingPoint,Spaces_NumberOfSpaces,Spaces_StayType
458,竹後段,36,10,0,0,0,255
459a,仁德116,248,10,0,0,0,255
D91,清安,58,5,0,0,0,255
848,金山,25,5,0,0,0,255
935,六合夜市停車場,49,5,0,0,14,255
AD13,高雄民權停車場,479,2,0,0,0,255
a93,黃埔新村,49,4,0,0,0,255
C09,港興社區,46,4,0,0,0,255
E35,延平,42,1,0,0,42,255
826,澄清湖西側,15,2,0,0,0,255
936,觀音山,133,9,0,0,0,255
095a,重平,54,10,0,0,0,255
park0019,沱江,80,1,0,0,78,255
818b,仁美,35,5,0,0,0,255
095b,重和,164,10,0,0,0,255
818d,仁倉,24,2,0,0,0,255
100,華夏,37,4,0,0,0,255
857b,高坪7路,62,4,0,0,0,255
118,三民二號公園,76,1,0,0,51,255
914,福誠,98,5,0,0,0,255
C92,二聖,120,2,0,0,0,255
937,管仲,280,4,0,0,0,255
716,勞工公園(勞一),490,1,0,0,198,255
AD2,民權輕鋼架(立體),459,4,0,0,0,255
923,南鼓山,28,4,0,0,0,255
825,岡山(平面),265,5,0,0,0,255
863,松崗,34,1,0,0,19,255
908,自強三路,136,4,0,0,0,255
c50,長壽路,41,9,0,0,0,255
Z03a,大愛園區,147,2,0,0,0,255
838,澄觀段停八,68,4,0,0,0,255
780,正勤中山,186,9,0,0,0,255
840,歡樂17,58,2,0,0,22,255
834,慈惠,59,2,0,0,0,255
B49,彌陀公園,33,10,0,0,0,255
836,金鼎段(仁武),79,9,0,0,0,255
AD3,高雄忠孝,568,9,0,0,0,255
812,柴山機車,153,2,0,0,150,255
874,廣昌,125,5,0,0,0,255
AD24,高雄鼓山國小地下停車場,184,10,0,0,0,255
B46a,如意公園,444,2,0,0,187,255
995,輔仁,67,9,0,0,0,255
Z08,泰安,106,2,0,0,0,255
877,文水,93,10,0,0,0,255
823,平和岡燕,48,2,0,0,0,255
A22,後昌,23,5,0,0,0,255
125,廣三,9,10,0,0,0,255
471,金興,142,2,0,0,0,255
B14,興化,40,2,0,0,0,255
812b,成功機車,57,1,0,0,0,255
841,同慶,205,10,0,0,0,255
135,臨海二路,42,9,0,0,0,255
AD10,海功(立體),506,9,0,0,0,255
997,智昌,83,4,0,0,0,255
864,店北,21,5,0,0,0,255
868,德昌,59,9,0,0,0,255
954,高雄本和,153,2,0,0,0,255
A74,凱旋三路,24,1,0,0,24,255
AD11,盛興停車場,382,2,0,0,0,255
749,岡山戶政旁,57,9,0,0,0,255
846,仁慈公園,35,10,0,0,0,255
878,加昌,96,5,0,0,0,255
A14,鎮榮(含第二),28,5,0,0,0,255
105,曾子,38,4,0,0,0,255
837,澄仁,39,5,0,0,0,255
969,允文,29,10,0,0,0,255
852,辛亥,43,1,0,0,43,255
AD15,林園(立體),244,9,0,0,0,255
448a,都會公園,653,4,0,0,0,255
A30,後昌路北側,58,5,0,0,0,255
862,鼎泰,145,10,0,0,0,255
991,高雄福德,90,10,0,0,0,255
831,竹子腳,17,4,0,0,0,255
C49,成功二路,94,1,0,0,61,255
457,田中央,38,5,0,0,0,255
467,慈惠六街,119,4,0,0,0,255
857a,高坪23路,27,2,0,0,0,255
AD17a,崎漏,41,2,0,0,0,255
596,樂群,34,2,0,0,0,255
815,鳳頂,98,4,0,0,0,255
988,惠民,131,2,0,0,68,255
290,公園路,627,10,0,0,0,255
F04,衛武營東側,271,10,0,0,0,255
816,國泰青年,514,4,0,0,0,255
930,輜汽,45,1,0,0,45,255
C40,高雄正德,25,10,0,0,0,255
855,高雄明仁,111,2,0,0,0,255
968,河川,33,2,0,0,11,255
933,高雄林德官,252,4,0,0,0,255
820,民權二路,48,10,0,0,0,255
924,旗津海岸,114,5,0,0,22,255
956,頂明,56,4,0,0,0,255
