CarParkID,CarParkName_Zh_tw,OpeningHours_ServiceDay_ServiceTag,OpeningHours_ServiceDay_Monday,OpeningHours_ServiceDay_Tuesday,OpeningHours_ServiceDay_Wednesday,OpeningHours_ServiceDay_Thursday,OpeningHours_ServiceDay_Friday,OpeningHours_ServiceDay_Saturday,OpeningHours_ServiceDay_Sunday,OpeningHours_ServiceDay_NationalHolidays,OpeningHours_Description,OpeningHours_StartTime,OpeningHours_EndTime,OpeningHours_FreeOfCharge
KIN0001,金門航空站第三停車站,全年適用平、假日,1,1,1,1,1,1,1,1,全日上、下午,00:00,23:59,0
KIN0004,山外車站停車場,全年適用平、假日,1,1,1,1,1,1,1,1,全日/上午/下午,00:00,23:59,0
LIE002,介壽地下停車場,夜間,1,1,1,1,1,1,1,1,夜間營業時間,22:00,06:00,0
LIE003,仁愛停車場,夜間,1,1,1,1,1,1,1,1,夜間營業時間,22:00,06:00,0
MIA019,聯永客家委員會停車場,全年適用,1,0,1,1,1,1,1,1,上午,09:00,17:00,0
MIA013,Times苗栗莊敬街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA007,苗栗市停十停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA005,苗栗市停五停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA030,叭叭房廣停四停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,20:00,0
MIA001,苗栗中正站停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA003,苗栗市停一停車場,平日,1,1,1,1,1,0,0,0,08:00-19:00,08:00,19:00,0
MIA025,叭叭房廣停二停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,20:00,0
MIA012,大同國小地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:01,23:59,0
MIA016,尚順育樂世界停車場,平日假日,1,1,1,1,1,1,1,1,06:00~02:50,06:00,02:50,0
MIA022,叭叭房光華停車場,全年適用,1,1,1,1,1,1,1,1,平面停車場,08:00,20:00,0
MIA008,苗栗市停十五停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA021,台鐵苗栗東站停車場,平日/假日/國定假日,1,1,1,1,1,1,1,1,24小時,00:00,23:59,0
MIA027,叭叭房民生停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,20:00,0
MIA017,富山中山路停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA004,苗栗市停四停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA024,叭叭房廣停三停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,20:00,0
MIA020,台鐵豐富站停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA006,苗栗市停八停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA014,後龍停一立體停車場,每日,1,1,1,1,1,1,1,1,含身障停車位1格,00:00,00:00,0
MIA026,叭叭房廣停六停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,20:00,0
MIA023,叭叭房銀河停車場,全年適用,1,1,1,1,1,1,1,1,平面停車格及翻板機,07:00,21:00,0
MIA010,南庄遊客中心停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA029,叭叭房文林停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,20:00,0
MIA028,叭叭房廣停十五停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,20:00,0
MIA018,苗栗台鐵高架橋下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
MIA011,竹南國中地下停車場,全年,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
NAN_004,婦幼館附設停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
NAN_003,埔里鎮仁愛立體停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
jiji001,集集鎮公所集集國小地下停車場,全年,1,1,1,1,1,1,1,1,上午9時至晚上8時,09:00,20:00,1
tsa004,草屯鎮公有零售市場地下停車場(市一停車場),全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
NAN_008,東埔停車場,全年,1,1,1,1,1,1,1,1,全日,08:00,18:00,0
NAN_010,南投縣瑞龍瀑布地區停車場,全年,1,1,1,1,1,1,1,1,全日,08:00,16:00,0
tsa002,草屯鎮中正路臨時停車場,全年,1,1,1,1,1,1,1,1,全日,07:00,07:00,0
