CarParkID,CarParkName_Zh_tw,Description,HourlyRates
XT01,新港停一立體停車場,平面式小型車371格,"[{'RateName': '自小客車計時方案', 'RateDescription': '自小客車每小時20元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'ServiceTag': '全年適用', 'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
Puzi01,廣停二停車場,平面式小型車35停車格,
Puzi06,廣停四停車場,平面式小型車21格,
STO004,水上鄉停（三）停車場,免費,
P02,強展金世界停車場,小型車95格,"[{'RateName': '小型車', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
P05,五都停車場嘉義站,小型車187格,"[{'RateName': '小型車', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
P16,助安168嘉義高鐵站,平面小型車129格,"[{'RateName': '小客車計時方案', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
MS0001,梅山公園停車場,平面式,
DL01,明和休閒公園旁公有免費停車場(停一),直停與橫停,
STO003,停二停車場,一般停車場,"[{'RateName': '免費', 'RateDescription': '免費', 'RestrictionUserType': 254, 'SpaceType': 1, 'RateQualifier': 0, 'RatePrice': 0, 'MaxPrice': 0, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '00:00', 'ServiceDay': {'ServiceTag': '全年適用', 'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
Puzi07,嘉義縣朴子市第一公有零售市場地下室停車場,第一小時免收費,"[{'RateName': '小客車計時方案', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 10, 'MinHalfHourCharge': 1, 'StartTime': '06:30', 'EndTime': '22:30', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}, {'RateName': '機車計時方案', 'RestrictionUserType': 0, 'SpaceType': 2, 'RateQualifier': 60, 'RatePrice': 10, 'MinHalfHourCharge': 1, 'StartTime': '06:30', 'EndTime': '22:30', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
