CarParkID,CarParkName_Zh_tw,EntranceExitType,EntranceExits_EntranceExitName_Zh_tw,EntranceExits_Position_PositionLat,EntranceExits_Position_PositionLon,EntranceExits_Type,EntranceExits_MaxAllowedHeight,EntranceExits_RoadID,EntranceExits_RoadName,EntranceExits_LinkID,EntranceExits_Bearing
MIA012,大同國小地下停車場,1,苗栗縣苗栗市大同路50號,24.55261,120.81533,2,2100,648043K,大同路,6480430000000K,N
MIA024,叭叭房廣停三停車場,1,信東路二段118號,24.69709,120.90225,1,,,信東路,,NW
MIA018,苗栗台鐵高架橋下停車場,1,大場入口：忠貞路路口、小場入口：光復路口,24.56111,120.8188,1,,,府前路,,NE
MIA028,叭叭房廣停十五停車場,1,調和街,24.67885,120.90114,1,,,協和街,,NW
MIA011,竹南國中地下停車場,1,竹南鎮延平路,24.70072,120.87789,1,190,,延平路,,S
tsa004,草屯鎮公有零售市場地下停車場(市一停車場),1,和興街出入口,23.97825,120.6849,3,,,和興街,,S
tsa003,草鞋墩停二立體停車場,1,和興街出入口,23.97568,120.6854,1,,,和興一街,,N
tsa002,草屯鎮中正路臨時停車場,1,中正路,23.98425,120.7327,3,210,652141M,中正路,6521410400120M,E
exfop02,第二停車場,2,,,,,,,,,
cmh923,中山停車場,1,加正二巷、加正巷、中山路,23.75334,120.68517,2,,,下橫街,,W
exfop01,第一停車場,1,新大門、米停,23.67263,120.7982,1,,,null,,NE
NAN_002,草屯鎮公有草鞋墩多目標使用立體停車場,1,明賢街，立體停車場入口,23.97581,120.6857,1,,,明賢街,,W
jiji001,集集鎮公所集集國小地下停車場,1,民權路出入口,23.82667,120.78541,2,,652335M,民權路,6523350200000M,E
NAN_003,埔里鎮仁愛立體停車場,2,,,,,,,,,
tsa001,草屯鎮大成街停車場,1,大成街,23.98337,120.7321,3,,652062M,大成街,6520620000010M,N
NAN_005,南投縣政府地下停車場,1,三和一路,23.92188,120.6787,2,,652032M,三和一路,6520320600010M,W
NAN_011,溪頭自然教育園區第一停車場,1,興產路出入口,23.73788,120.7815,1,,,興產路,,E
NAN_004,婦幼館附設停車場,1,內山公路,23.92204,120.6739,2,,,無名,,SW
PT0009,屏菸1936文化基地立體停車場,2,,,,,,,,,
PT0005,機場北路路外停車場,1,崇勝一街路口,22.68756,120.47176,2,,676021T,機場北路,6760210000010T,N
PT0010,民生路立體停車場,1,萬倉街出入口,22.66913,120.4927,1,,,萬倉街,,NW
PT0015,自由延平停車場,1,建華路三街入口,22.66693,120.4843,1,,,建華三街,,N
PT0003,勝利星村路外停車場,1,博愛路路口,22.67882,120.48129,2,,675545T,博愛路,6755450000040T,N
PT0002,中華立體停車場,3,林森路機車出入口,22.67346,120.49024,1,,675102T,林森路,6751020600020T,W
PT0014,東港鎮中山路平面式路外停車場,1,中山立體停車場旁道路進出,22.46585,120.4511,1,,,無名,,SW
PT0016,東港漁港停車場,1,朝隆路,22.46779,120.44373,1,,,朝隆路,,E
PT0001,縣府立體停車場,1,自由路口，忠孝路口,22.68351,120.48896,1,2.1,674841T,自由路,6748410400050T,E
PT0004,自由路外停車場,1,自由路口,22.66648,120.49273,2,,,自由路,,SW
PT0017,潮州車站停車場,2,,,,,,,,,
PT0006,和平路路外停車場,1,和平路,22.67122,120.47819,2,,,和平路,,N
PT0018,屏東榮民總醫院東側路外停車場,2,,,,,,,,,
04P0C0015A,西區-公有-雙龍P,2,,,,,,,,,
09P0C0010A,豐原區-公有-葫蘆墩圳平面P8,2,,,,,,,,,
11P0C0002A,大甲區-公有-停三P,1,入口,24.34495,120.6237,1,,,鎮瀾街,,S
06P0C0013B,西屯區-公有-東興立體P,2,,,,,,,,,
